user_id,name,tenure,total_transactions,estimated_clv
1909df3eba2548cfa3b9c270112bd262,"Chima Ataman",33,2383,32374989.65
3097d111f15b4c44ac1bf1f4cd5a12ad,"Obi Obi",25,845,10377780.74
5572810f38b543429ffb218ef15243fc,"Obi David",72,10548,6493744.07
2b5a91e5b1564426b78c47cd2a8a22f4,"First name Last name",10,5,6000000
81294b17ab9b4fe98f76cf438cfe4cc6,"Ahmed Dodo",20,548,4839600
b2884344d1254f89a4984f16cab50cff,"Babatunde Adegunle",20,271,4370160.6
75cb72d217324ace976cb9104d1d2d9c,"David dashme",75,3874,4145285.03
ed78e6b53838467b9a4e34b8a4a37a3f,"Gracias Ashama",33,1205,2896909.77
626639a2ad904f47bd76183910403064,"dara Fakoya",50,3404,2819063.5
e500417721c6424fb879d603615a6d77,"Omokhose Dania",32,4544,2799076.65
a96f45b14f074cc1a9675ba104194f87,"Obi-Wan Kenobi",37,6089,2771061.52
ddf57166b2d34e50b446057817e12ac3,"Timothy Olanrewaju",38,548,2677170.44
c0d0fb9b03b545d4841c5918037c245a,"Tomy Timi",18,1333,2608796.33
a6f38978dda1462ebd0d54ff148c1bbd,"Timothy Olanrewaju",38,512,2561971.26
fdb4471e9f364439b43c3c6b9f05d124,"Dollar Po Amusan",46,1739,2523806.08
427085b0eb1048f29d882d645658c09d,"Obi Uchenna David",68,2704,2514821.51
de86441af0dc4a7a9f35dc8e0251b5c3,"Omokhose Dania",32,4942,2448538.39
363237ae6a2242feb3c973ef20247f79,"Yami PThree",66,6319,2442897.11
3aa79f2f1c0148cd964a6f91dd0fd72b,"Nacer Pantsil",38,5684,2389871.55
3c18ed287e314e5b879918d4cd17948e,"Akman Tim",18,1145,2370288
3b0ef4ad4294454a86505f918d60575b,"Nest Claim One",1,21,2355396.6
435c77a75e8441259a2515064fa0b83b,"Adebiyi Grillo",37,2427,2113308.65
875fee997c50474a8982b89443bc01e3,"Esther Omikunle",32,2182,2086232.38
0257625a02344b239b41e1cbe60ef080,"Opeoluwa Popoola",104,3816,2017189.82
1347338ea50147ec8df541beb1711894,"Mary Monana",1,6,2010000
f026b5d9d7d84a7a9e452862f58b4cf9,"Enor Izomor",75,2217,1948173.3
72141b6db0a94e9b8414ae0e783792b7,"Timothy Olanrewaju",64,3480,1842737.14
da1b733b34084652897e4be00f49ffb0,"Adim Oka",25,2272,1628285.35
b70eddd82eae4684bddc252b0b05e895,"Yami Five",67,2416,1619811.26
cccfe6a3d67b4a80b51e80be3e33eb5d,"iOS Test",48,409,1466487.06
af154b8efc024eb2a88b6c872f1c6d07,"John Doe",18,1686,1411970.7
f6b76010606f4536b3e03b7e0917dc89,"Timothy Olanrewaju",64,1272,1400142.57
c262e2e1fbc44993ba09a6e9be41edd6,"Blessing Uwadia",45,2,1386666.65
6bdbeaf45ad84b8c8d6c8a886a19e256,"OluwadDamilare Bello",14,87,1343159.91
fa1da0325a904487aab61a7d219ffe1c,"First name Last name",9,1,1333333.33
8c8f4f9bbdde4798b059061be2a148aa,"Ahmed11 Adeq1",20,596,1297500
b15810c73f1f4722b2ea72d9e329ea0c,"Yami Ashamaa",61,1426,1247855.92
00aab34a8d5d4591942b3f4ce1ff8aa2,"First name Last name",10,1,1200000
fe321c01bc49461a94cef73de1cd393f,"Nifemi Test SOLA-OJO",45,2754,1128518.83
566126bab52a4754936e309e3166a797,"Jigan Trabaye",38,4427,1090817.62
2b89cb1d77b24c02bb0578ac909860ea,"Nottas Notlim",44,1866,1086583.01
a1a2f9d5dff949f9980e92e8284e481d,"Charis Ashama",33,807,1076302.56
6d6cf08fd4ae46099d2877608243c0a9,"Basiqoqs Debiyi",54,129,1067013.25
97cff281d1644994bfc87483a4bc60eb,"Sandy Cheeks",20,623,1049040
451ab11c63d24306b4b97e26ee2697b1,"Gracy Tim",18,503,1047327.3
e6d7d8b9151645e99726715b355224ef,"Faith Abubakar",25,163,992850
e0e824c5e8114cd4abd96d4c64ac35d3,"Yarmirama Ashama",32,1314,984843.75
9d2f0f1accb8482a9533c5cfebb156ed,"SeunTim Tim",18,132,976493.27
df893a2dbb0c463892c170425953581d,"Dami Tim",18,201,952891.73
c09f10ffdc854436adcf00f8cd7db940,"Kizito Isifeh",25,84,913909.12
d01193c4a37e4f919836292e8bb88a8a,"Olatunji Ekisanya",37,388,777139.8
119d8f262a1c47639b3021db1f6f1e17,"Timothy Olanrewaju",38,465,767623.26
17aca1ea399848c6859ebbf2a648f718,"Temitope adebiyi",37,481,761873.27
7e851c7ece9a43a3b2b4039fbb47c60f,"Tim Tommy",18,91,740828.33
7b96e0cd1b33483a86018472b260e022,"Ahmed Adegunle",20,1111,727200
028f736f750f4318aa71d62d3aa3d1bd,"Uchechukwu Emmanuel",53,859,707959.2
295930ec4219470c91c883abecf5e8b1,"Seun Tommy",19,743,695023.64
502fd0984ed54c3e8dc1c3884f84941b,"ios test",47,1437,691501.04
2dad78add00e4fe2afd3ab0075800e31,"Adimchi Oka",36,227,657621.33
f6871da39f424bf190627dc8a0644c20,"Favour Felix",5,66,655176
c02b5064df6546c6bb2b32d92ab00eac,"Abdulrahman Solanke",25,487,650576.08
5f33ad7268ff42a784663e9ce98d3ac9,"Tim Staging",20,68,614514.75
477251b6ab8241dba14bf13c8365efe9,"Tade Bola",66,2275,614465.42
b33f84c8683e4e94a4d5fed93d3c981f,"Temitope Adebiyi",37,2896,607479.49
10cc87aeca044ff98ffe675f350f812b,"Junior Tester",3,3,600000
9773902c135f4214b17060690ff2a2a8,"Dexter Green",1,1,600000
f23c5baa7a6f45529a509e0ffbfefaf0,"Tas Leem",51,1514,578556.84
d5d6a528ce564e26af66d0bfc5387f5a,"Daniel Coker",25,699,576192.24
03083b5170134734876344bb9ca94675,"ibrahim olubiyi",24,719,573600
2fb594bd456a49a7bdceb70316b2bd74,"Laura Matsuda",22,933,562405.68
a549807eb71046c48857f1a32277bd71,"Test iOS",51,861,559681.76
0e33bd8b3e0e40ad94021263cf7e1bd6,"ntest2 ntest2",1,1,523478.4
c9297018ab1d4dd9bde1ea4fe0ce4f6a,"Olu Timo",18,2591,519304.17
d710e93f79bc44f5a3a63709ed466037,"Gracyy Ashama",33,192,503771.83
75b9df985e254031aaba8ec44f459d2d,"Edward Popoola",104,3420,502492.85
8854a6cc3d7f49079eea9b56fa512f31,"Gambo Sigma",18,467,491632.03
a1dd9266894f43929fc3f93e2dbfae86,"My own Guy Test",68,888,486388.08
c2f74044b8ba4710907560a2ddd0a546,"Ahmed3 Ade3",20,271,480000
7c7608175be94117bef57c5b049be720,"Onengi Richard",43,1974,472726.12
597524e33ccf47e4ac71b86629dd628a,"Obi David",19,210,459663.16
7affcd43f69e44b9bfb8aba36f916d9d,"Mikail Williams",1,2,420000
2bcfba3700f342609367eeebb1bae28e,"Nonso Okolo",53,117,403291
6a9270e8364e4405a328de179068d9d7,"T Banks",3,3,400000
06127c3513d242bcab73a569ef615f69,"Sandy Cheeks",24,1265,394255
0aa5f79f8c2343868c30c6eb07b010dd,"Ope Olorisade",35,194,389766.86
d6a780a0ff584555b7e24668e258555a,"Azez TIm",18,1163,376291.4
adc365b1e2bf4ef39e595c1bf19093c1,"Obi-Wan Kenobi",28,240,374240.73
a1be01f4e2724d4d94f17effc0b0ce2d,"Ope Oluwa",67,400,368002.79
e3b863b7f1654aeca3c941423e35aa03,"Fathi Babayeju",1,2,360000
a62efa2df0814432b82485d6989cd507,"Jery Godman",19,326,352938.06
b90cb31b55a742598577a5c807bc16c3,"Twmi ade",25,69,346492.99
7b561d04a0c24c75b4da8f2196e506a2,"Test Test",2,3,324540
d4fc05997a4a419fac61fe92d3644742,"Mobolaji Olorishade",44,1337,318276.47
8f480d2f4df048bbb68abbcc03283c86,"Rahman Solanke",33,201,315211.49
e12bb7a1291548ad91fdb83b154db69a,"christiana uzonwanne",36,229,310809.3
eed3bfe4ccc7485fbb30f6ee8a5a82e3,"ahmed Adegunle",20,272,302526
a3465e8585bd4cc08127a044f03c0fd7,"Jesuloba Tim",18,1480,297082.83
742da71d7daa46d0801755c883bdc464,"Festus Iyere",51,889,270771.43
fe9e6f3a41414a2db8bcb106fd359862,"Khadija George",35,23,264370.29
2cdbbb19a3f04a09a6f74f2f2c3496b7,"Favour Felix",3,5,262000
73cc1ea013d44bb4b271c8737dedef91,"Daniel Coker",35,121,255437.14
893ca9504a794a478c5e98e945554ad8,"Tyyyy Kkkkk",20,305,254700
f6c10c442f724f66b29a671d496bc081,"Aisha Test",25,129,251581.85
0c4e3deeb4d345138e381a980780264b," ",30,104,245000
6a5f4d2af6d8439398f4abfa6f4ec43b,"BabyShark DoDoDoDo",1,1,240000
753f8ad1b8464ba5a4b1164a0a9b6e4e,"Obi-Wan Kenobi",27,78,232897.78
6511987870964f728974da2ca8f5cdfb,"Squilliam Fancyson",25,1045,228011.42
ec435b9e0145454592a87ed3e854fd6c,"Sombra Cheeks",1,2,228000
2300382f1f934c46b299c3cd575146f2,"Gambo Mohammed",19,229,225473.68
26170a1ffd6f4b1f920da32dca5ae88e,"Yams Uba",53,209,225421.59
6cab33bc633e4c789935052edb3687ad,"Hjjvg Bvkjvjn",20,134,224400
17f6868ceea942deaf0b0c2ccc906077,"Festus Iyere",33,219,223484.65
f625f1259ef54598a6f7a27da39a50b1,"Aisha Shatu",53,121,216063.48
4d44cf3a15804fda9c9f2e74c7e49917,"Esther Omikunle",30,420,216009.2
f770c2381414445f853cd61393a74957,"Gambo Mohammed",19,231,214105.26
968db31a69884aa99716dfc8e18b78d2,"Edward Popoola",31,159,211349.03
df8b2293ef344f4abb862a02112d4e42,"Tim Obeisun",10,14,204972
f0c1520a23cb425b8ed72dad8ccced5a,"Obi-Wan Kenobi",31,70,201681.29
0e93554740464c2d979bf92620cc564d,"Johnson Bello",3,2,200000
3c6f29df1faf494c9f9945eabdbd2872,"Mo Marquis",3,1,200000
6da0900a54c74e2e9d416eb5d049277a," ",31,179,196463.17
a561d518d6204e77a06c1add19a3944f,"Chigozie Ochuba",2,6,190450.5
bba0ba894dc846b9ba2ee72b072da46c,"Demo Test",18,62,186158.33
09a9107532594091ad2c94acfb515865,"Esther Omikunle",31,189,185729.03
b306801216ac4e978cf097176d712835,"Yeni Stage",39,15,184615.38
279602fb41c240689c5edfec63c7c1a1,"Timothy Olanrewaju",68,677,184576.83
d9832ba0b06c40be8ee1eb1d97ff3f38,"Chigozie Ochuba",2,4,177000
58de29a593a84f7ab376ac68071141ed,"IOS Testing",44,172,174286.96
1f443df1286b4d73be27e785fcfc8e64,"Timmy Man",14,123,172285.71
69f2e893dd0d4cca97f611bf24012093,"Timothy Olanrewaju",37,471,171275.68
4661940319474ae59af93b74b20a033c,"Edward Popoola",61,250,157506.02
37b91daa9f1d4e7c81bd1547bbc8a253,"Nees Jerry",3,1,156000
9e40cd677aa540cfa47de096166bf874,"Obi David",18,112,154355.17
02c8248376704be6959ababbe2a8b4a0,"Test Testing",38,116,152076.82
43ba81043ec843868ffd9c6a3d6d1400,"Chima Ataman",15,29,151520
e673c1abcabe47a285973021fcedfbc0,"Yami Ash",49,182,143884.67
a058bcd7910d454395e62102e798f0f1,"Itunu Fatoki",5,13,142968.72
c6a69165a7d843018f2c3ecbbf872b8b,"Festus Iyere",33,77,141828.33
bd890cda9a8049f0805280e9b5bcb64c,"Esther Omikunle",30,91,140804
c41fe7c7c9024cdabdcfe17274205f70,"ahmed1 ndksjcsjld",20,322,138738
927af2d7a0ea48a9aa371e1bc5bbfdb4,"Festus Iyere",3,1,137373.6
9e2699fd87e842c39202fe786a9bc97a,"Hadiza Irumah",2,4,132000
415edebd5c1a4a47a9828e5b2b0582e4,"Sandy Cheeks",20,277,130740
6c629b055617441ca71a5e2eda19deec,"Uchenna Obi",25,147,128647.2
0433c9d629f4487aa010eff0f035ae93,"Niall Horan",33,251,125332.02
88f0530d2ef5437da9e7e53a59b230b1,"Khadija George",35,701,124672.35
94b0ac569e13412bb3e4f43d89de6bac," ",31,16,123870.97
51b42bb04982411f9ce572c695198ac2,"Obi-Wan Kenobi",27,122,123644.44
8a05e4b424254998a5e567279cb99e46,"Martin Ataman",4,2,123000.6
bf156e5dffc649f488a168cc81f01acc,"Lemar Odom",97,352,122089.79
0106c8c221874837a96d7dc2c2ed2fd5,"Second Child",5,1,120000
08c7db2fef704ea194493185199ad2c3,"First Child",5,1,120000
11b6dd446dea494096d2eddcf25d7cd1,"Second Child",5,1,120000
23f1c73c6e5e468d98bd8e5364bc3763,"Iretiola Popoola",5,3,120000
61467b1c985846458a1757e06c2901aa,"First Child",5,1,120000
622a265463df49fb85c6966973ea2e7e,"Hadiyah Solanke",3,2,120000
6acf2151f08d4f94ae1c1ad0274a01fe,"Second Child",5,1,120000
7744dac2fcaf414ab3124df078b0fc58,"Without Gift",3,1,120000
9a730748f4b64d9c8989b0e1e81e9bbd,"Ade Olanrewaju",5,1,120000
9fdc307fe39c417ea0d3e2ecccd534d2,"Third Child",5,1,120000
